case_id;activity;time;robot
;TB_enter;2023-08-21 10:41:47;0
;TB_task2;2023-08-21 10:41:52;0
;TA_enter;2023-08-21 10:41:59;2
;TA_task1;2023-08-21 10:42:04;2
;TA_task3;2023-08-21 10:42:06;5
;TB_task3;2023-08-21 10:42:06;5
;TC_enter;2023-08-21 10:42:13;3
;TC_task1;2023-08-21 10:42:18;3
;TD_enter;2023-08-21 10:44:22;4
;TD_task2;2023-08-21 10:44:27;4
;TC_task3;2023-08-21 10:44:28;1
;TD_task3;2023-08-21 10:44:28;1
;TF_enter;2023-08-21 10:44:41;5
;TF_task2;2023-08-21 10:44:46;5
;TE_enter;2023-08-21 10:44:55;2
;TE_task1;2023-08-21 10:45:00;2
;TE_task3;2023-08-21 10:45:01;5
;TF_task3;2023-08-21 10:45:01;5
;TG_enter;2023-08-21 10:45:16;4
;TG_task1;2023-08-21 10:45:21;4
;TH_enter;2023-08-21 10:45:22;0
;TH_task2;2023-08-21 10:45:27;0
;TG_task3;2023-08-21 10:45:28;3
;TH_task3;2023-08-21 10:45:28;3
;TG_task4;2023-08-21 10:45:29;0
;TH_task4;2023-08-21 10:45:29;0
