case_id;activity;time;robot
;TB_enter;2023-08-21 12:36:32;2
;TB_task2;2023-08-21 12:36:37;2
;TA_enter;2023-08-21 12:36:57;4
;TA_task1;2023-08-21 12:37:02;4
;TA_task3;2023-08-21 12:37:04;1
;TB_task3;2023-08-21 12:37:04;1
;TC_enter;2023-08-21 12:37:10;5
;TC_task1;2023-08-21 12:37:15;5
;TD_enter;2023-08-21 12:38:21;3
;TD_task2;2023-08-21 12:38:26;3
;TC_task3;2023-08-21 12:38:28;0
;TD_task3;2023-08-21 12:38:28;0
;TF_enter;2023-08-21 12:38:45;4
;TF_task2;2023-08-21 12:38:49;4
;TE_enter;2023-08-21 12:39:17;0
;TE_task1;2023-08-21 12:39:22;0
;TE_task3;2023-08-21 12:39:24;3
;TF_task3;2023-08-21 12:39:24;3
;TG_enter;2023-08-21 12:39:39;3
;TG_task1;2023-08-21 12:39:44;3
;TH_enter;2023-08-21 12:40:37;1
;TH_task2;2023-08-21 12:40:42;1
;TG_task3;2023-08-21 12:40:44;4
;TH_task3;2023-08-21 12:40:44;4
;TG_task4;2023-08-21 12:40:44;1
;TH_task4;2023-08-21 12:40:44;1
