mision;activity;time;robot
;TA_enter;2023-08-21 22:57:23;3
;TA_task1;2023-08-21 22:57:28;3
;TB_enter;2023-08-21 22:57:34;4
;TB_task2;2023-08-21 22:57:39;4
;TA_task3;2023-08-21 22:57:41;1
;TB_task3;2023-08-21 22:57:41;1
;TC_enter;2023-08-21 22:57:46;1
;TC_task1;2023-08-21 22:57:51;1
;TD_enter;2023-08-21 22:58:27;5
;TD_task2;2023-08-21 22:58:32;5
;TC_task3;2023-08-21 22:58:34;2
;TD_task3;2023-08-21 22:58:34;2
;TF_enter;2023-08-21 22:59:00;0
;TF_task2;2023-08-21 22:59:04;0
;TE_enter;2023-08-21 22:59:31;4
;TE_task1;2023-08-21 22:59:36;4
;TE_task3;2023-08-21 22:59:38;1
;TF_task3;2023-08-21 22:59:38;1
;TG_enter;2023-08-21 22:59:50;2
;TG_task1;2023-08-21 22:59:55;2
;TH_enter;2023-08-21 23:00:00;1
;TH_task2;2023-08-21 23:00:05;1
;TG_task3;2023-08-21 23:00:07;4
;TH_task3;2023-08-21 23:00:07;4
;TG_task4;2023-08-21 23:00:07;1
;TH_task4;2023-08-21 23:00:07;1
