mision;activity;time;robot
;TB_enter;2023-08-25 13:42:11;5
;TB_task2;2023-08-25 13:42:16;5
;TA_enter;2023-08-25 13:42:21;1
;TA_task1;2023-08-25 13:42:26;1
;TA_task3;2023-08-25 13:42:28;4
;TB_task3;2023-08-25 13:42:28;4
;TC_enter;2023-08-25 13:42:40;2
;TC_task1;2023-08-25 13:42:45;2
;TD_enter;2023-08-25 13:42:48;3
;TD_task2;2023-08-25 13:42:53;3
;TC_task3;2023-08-25 13:42:55;0
;TD_task3;2023-08-25 13:42:55;0
;TF_enter;2023-08-25 13:43:11;1
;TF_task2;2023-08-25 13:43:15;1
;TE_enter;2023-08-25 13:44:39;0
;TE_task1;2023-08-25 13:44:44;0
;TE_task3;2023-08-25 13:44:45;3
;TF_task3;2023-08-25 13:44:45;3
;TG_enter;2023-08-25 13:44:50;5
;TG_task1;2023-08-25 13:44:55;5
;TH_enter;2023-08-25 13:45:01;3
;TH_task2;2023-08-25 13:45:06;3
;TG_task3;2023-08-25 13:45:07;0
;TH_task3;2023-08-25 13:45:07;0
;TG_task4;2023-08-25 13:45:07;3
;TH_task4;2023-08-25 13:45:07;3
