mision;activity;time;robot
;TB_enter;2023-08-21 22:57:11;4
;TB_task2;2023-08-21 22:57:16;4
;TA_enter;2023-08-21 22:57:43;2
;TA_task1;2023-08-21 22:57:48;2
;TA_task3;2023-08-21 22:57:50;5
;TB_task3;2023-08-21 22:57:50;5
;TC_enter;2023-08-21 22:57:58;0
;TC_task1;2023-08-21 22:58:03;0
;TD_enter;2023-08-21 22:58:08;3
;TD_task2;2023-08-21 22:58:13;3
;TC_task3;2023-08-21 22:58:15;0
;TD_task3;2023-08-21 22:58:15;0
;TF_enter;2023-08-21 22:58:22;5
;TF_task2;2023-08-21 22:58:27;5
;TE_enter;2023-08-21 22:58:31;1
;TE_task1;2023-08-21 22:58:36;1
;TE_task3;2023-08-21 22:58:37;4
;TF_task3;2023-08-21 22:58:37;4
;TH_enter;2023-08-21 22:58:44;2
;TH_task2;2023-08-21 22:58:48;2
;TG_enter;2023-08-21 22:59:55;3
;TG_task1;2023-08-21 23:00:00;3
;TG_task3;2023-08-21 23:00:02;0
;TH_task3;2023-08-21 23:00:02;0
;TG_task4;2023-08-21 23:00:02;3
;TH_task4;2023-08-21 23:00:02;3
