case_id;activity;time;robot
;TA_enter;2023-08-21 10:41:45;3
;TA_task1;2023-08-21 10:41:50;3
;TB_enter;2023-08-21 10:41:56;4
;TB_task2;2023-08-21 10:42:01;4
;TA_task3;2023-08-21 10:42:03;1
;TB_task3;2023-08-21 10:42:03;1
;TC_enter;2023-08-21 10:42:08;1
;TC_task1;2023-08-21 10:42:13;1
;TD_enter;2023-08-21 10:42:49;5
;TD_task2;2023-08-21 10:42:54;5
;TC_task3;2023-08-21 10:42:56;2
;TD_task3;2023-08-21 10:42:56;2
;TF_enter;2023-08-21 10:43:22;0
;TF_task2;2023-08-21 10:43:26;0
;TE_enter;2023-08-21 10:43:53;4
;TE_task1;2023-08-21 10:43:58;4
;TE_task3;2023-08-21 10:44:00;1
;TF_task3;2023-08-21 10:44:00;1
;TG_enter;2023-08-21 10:44:12;2
;TG_task1;2023-08-21 10:44:17;2
;TH_enter;2023-08-21 10:44:22;1
;TH_task2;2023-08-21 10:44:27;1
;TG_task3;2023-08-21 10:44:29;4
;TH_task3;2023-08-21 10:44:29;4
;TG_task4;2023-08-21 10:44:29;1
;TH_task4;2023-08-21 10:44:29;1
