mision;activity;time;robot
;TB_enter;¿200.000000;5
;TB_task2;100.000000;5
;TA_enter;800.000000;1
;TA_task1;700.000000;1
;TA_task3;300.000000;4
;TB_task3;300.000000;4
;TC_enter;900.000000;2
;TC_task1;800.000000;2
;TD_enter;600.000000;3
;TD_task2;500.000000;3
;TC_task3;200.000000;0
;TD_task3;200.000000;0
;TF_enter;?0.000000;1
;TF_task2;?ÿÿÿÿÿÿ_<900.000000;1
;TE_enter;200.000000;0
;TE_task1;¿100.000000;0
;TE_task3;?700.000000;3
;TF_task3;?700.000000;3
;TG_enter;300.000000;5
;TG_task1;200.000000;5
;TH_enter;100.000000;3
;TH_task2;0.000000;3
;TG_task3;700.000000;0
;TH_task3;700.000000;0
;TG_task4;800.000000;3
;TH_task4;800.000000;3
