case_id;activity;time;robot
;TB_enter;2023-08-21 10:41:34;2
;TB_task2;2023-08-21 10:41:39;2
;TA_enter;2023-08-21 10:41:52;0
;TA_task1;2023-08-21 10:41:57;0
;TA_task3;2023-08-21 10:41:58;3
;TB_task3;2023-08-21 10:41:58;3
;TD_enter;2023-08-21 10:42:11;3
;TD_task2;2023-08-21 10:42:16;3
;TC_enter;2023-08-21 10:42:21;1
;TC_task1;2023-08-21 10:42:26;1
;TC_task3;2023-08-21 10:42:27;4
;TD_task3;2023-08-21 10:42:27;4
;TE_enter;2023-08-21 10:42:41;5
;TE_task1;2023-08-21 10:42:46;5
;TF_enter;2023-08-21 10:42:48;2
;TF_task2;2023-08-21 10:42:53;2
;TE_task3;2023-08-21 10:42:55;5
;TF_task3;2023-08-21 10:42:55;5
;TH_enter;2023-08-21 10:43:04;4
;TH_task2;2023-08-21 10:43:09;4
;TG_enter;2023-08-21 10:43:10;3
;TG_task1;2023-08-21 10:43:15;3
;TG_task3;2023-08-21 10:43:17;0
;TH_task3;2023-08-21 10:43:17;0
;TG_task4;2023-08-21 10:43:17;3
;TH_task4;2023-08-21 10:43:17;3
