case_id;activity;time;robot
;TB_enter;2023-08-21 12:36:31;0
;TB_task2;2023-08-21 12:36:36;0
;TA_enter;2023-08-21 12:36:43;2
;TA_task1;2023-08-21 12:36:48;2
;TA_task3;2023-08-21 12:36:50;5
;TB_task3;2023-08-21 12:36:50;5
;TC_enter;2023-08-21 12:36:57;3
;TC_task1;2023-08-21 12:37:02;3
;TD_enter;2023-08-21 12:39:06;4
;TD_task2;2023-08-21 12:39:11;4
;TC_task3;2023-08-21 12:39:12;1
;TD_task3;2023-08-21 12:39:12;1
;TF_enter;2023-08-21 12:39:25;5
;TF_task2;2023-08-21 12:39:30;5
;TE_enter;2023-08-21 12:39:39;2
;TE_task1;2023-08-21 12:39:44;2
;TE_task3;2023-08-21 12:39:45;5
;TF_task3;2023-08-21 12:39:45;5
;TG_enter;2023-08-21 12:40:00;4
;TG_task1;2023-08-21 12:40:05;4
;TH_enter;2023-08-21 12:40:06;0
;TH_task2;2023-08-21 12:40:11;0
;TG_task3;2023-08-21 12:40:12;3
;TH_task3;2023-08-21 12:40:12;3
;TG_task4;2023-08-21 12:40:13;0
;TH_task4;2023-08-21 12:40:13;0
