mision;activity;time;robot
;TB_enter;2023-08-21 22:57:10;1
;TB_task2;2023-08-21 22:57:15;1
;TA_enter;2023-08-21 22:57:15;4
;TA_task1;2023-08-21 22:57:20;4
;TA_task3;2023-08-21 22:57:22;1
;TB_task3;2023-08-21 22:57:22;1
;TD_enter;2023-08-21 22:57:40;0
;TD_task2;2023-08-21 22:57:45;0
;TC_enter;2023-08-21 22:57:56;3
;TC_task1;2023-08-21 22:58:01;3
;TC_task3;2023-08-21 22:58:03;0
;TD_task3;2023-08-21 22:58:03;0
;TE_enter;2023-08-21 22:58:18;1
;TE_task1;2023-08-21 22:58:23;1
;TF_enter;2023-08-21 22:58:29;5
;TF_task2;2023-08-21 22:58:34;5
;TE_task3;2023-08-21 22:58:36;2
;TF_task3;2023-08-21 22:58:36;2
;TG_enter;2023-08-21 22:58:54;2
;TG_task1;2023-08-21 22:58:59;2
;TH_enter;2023-08-21 22:59:07;4
;TH_task2;2023-08-21 22:59:12;4
;TG_task3;2023-08-21 22:59:14;1
;TH_task3;2023-08-21 22:59:14;1
;TG_task4;2023-08-21 22:59:14;4
;TH_task4;2023-08-21 22:59:14;4
