Trace Number,Trace Is Fit,Trace Fitness,Missing Tokens,Consumed Tokens,Remaining Tokens,Produced Tokens
1,False,0.935483870967742,6,93,6,93
----------,----------,----------,----------,----------,----------,----------
2,False,0.9886363636363636,1,88,1,88
----------,----------,----------,----------,----------,----------,----------
3,False,0.9666666666666667,3,90,3,90
----------,----------,----------,----------,----------,----------,----------
4,False,0.9456521739130435,5,92,5,92
----------,----------,----------,----------,----------,----------,----------
5,False,0.9886363636363636,1,88,1,88
----------,----------,----------,----------,----------,----------,----------
6,False,0.8613861386138614,14,101,14,101
----------,----------,----------,----------,----------,----------,----------
7,False,0.935483870967742,6,93,6,93
----------,----------,----------,----------,----------,----------,----------
8,False,0.9666666666666667,3,90,3,90
----------,----------,----------,----------,----------,----------,----------
9,False,0.935483870967742,6,93,6,93
----------,----------,----------,----------,----------,----------,----------
10,False,0.9886363636363636,1,88,1,88
----------,----------,----------,----------,----------,----------,----------
11,False,0.9775280898876404,2,89,2,89
----------,----------,----------,----------,----------,----------,----------
12,True,1.0,0,87,0,87
----------,----------,----------,----------,----------,----------,----------
13,False,0.9775280898876404,2,89,2,89
----------,----------,----------,----------,----------,----------,----------
14,False,0.90625,9,96,9,96
----------,----------,----------,----------,----------,----------,----------
15,False,0.9886363636363636,1,88,1,88
----------,----------,----------,----------,----------,----------,----------
16,False,0.8877551020408163,11,98,11,98
----------,----------,----------,----------,----------,----------,----------
17,False,0.935483870967742,6,93,6,93
----------,----------,----------,----------,----------,----------,----------
18,False,0.9886363636363636,1,88,1,88
----------,----------,----------,----------,----------,----------,----------
19,False,0.9456521739130435,5,92,5,92
----------,----------,----------,----------,----------,----------,----------
20,True,1.0,0,87,0,87
----------,----------,----------,----------,----------,----------,----------
