mision;activity;time;robot
;TB_enter;2023-08-21 22:54:53;1
;TB_task2;2023-08-21 22:54:58;1
;TA_enter;2023-08-21 22:55:11;5
;TA_task1;2023-08-21 22:55:15;5
;TA_task3;2023-08-21 22:55:17;2
;TB_task3;2023-08-21 22:55:17;2
;TC_enter;2023-08-21 22:55:30;0
;TC_task1;2023-08-21 22:55:35;0
;TD_enter;2023-08-21 22:55:36;2
;TD_task2;2023-08-21 22:55:41;2
;TC_task3;2023-08-21 22:55:43;5
;TD_task3;2023-08-21 22:55:43;5
;TF_enter;2023-08-21 22:56:00;3
;TF_task2;2023-08-21 22:56:05;3
;TE_enter;2023-08-21 22:56:06;1
;TE_task1;2023-08-21 22:56:10;1
;TE_task3;2023-08-21 22:56:12;4
;TF_task3;2023-08-21 22:56:12;4
;TG_enter;2023-08-21 22:56:27;0
;TH_enter;2023-08-21 22:56:28;2
;TG_task1;2023-08-21 22:56:32;0
;TH_task2;2023-08-21 22:56:33;2
;TG_task3;2023-08-21 22:56:34;5
;TH_task3;2023-08-21 22:56:34;5
;TG_task4;2023-08-21 22:56:34;2
;TH_task4;2023-08-21 22:56:34;2
