case_id;activity;time;robot
;TB_enter;2023-08-21 10:17:12;3
;TB_task2;2023-08-21 10:17:17;3
;TA_enter;2023-08-21 10:17:26;0
;TA_task1;2023-08-21 10:17:31;0
;TA_task3;2023-08-21 10:17:33;3
;TB_task3;2023-08-21 10:17:33;3
;TD_enter;2023-08-21 10:17:47;5
;TD_task2;2023-08-21 10:17:52;5
;TC_enter;2023-08-21 10:17:55;2
;TC_task1;2023-08-21 10:18:00;2
;TC_task3;2023-08-21 10:18:02;5
;TD_task3;2023-08-21 10:18:02;5
;TE_enter;2023-08-21 10:18:22;3
;TF_enter;2023-08-21 10:18:23;0
;TE_task1;2023-08-21 10:18:27;3
;TF_task2;2023-08-21 10:18:28;0
;TE_task3;2023-08-21 10:18:30;3
;TF_task3;2023-08-21 10:18:30;3
;TG_enter;2023-08-21 10:18:45;1
;TG_task1;2023-08-21 10:18:50;1
;TH_enter;2023-08-21 10:18:51;2
;TH_task2;2023-08-21 10:18:56;2
;TG_task3;2023-08-21 10:18:57;5
;TH_task3;2023-08-21 10:18:57;5
;TG_task4;2023-08-21 10:18:58;2
;TH_task4;2023-08-21 10:18:58;2
