mision;activity;time;robot
;TB_enter;2023-08-21 22:48:51;2
;TA_enter;2023-08-21 22:48:55;1
;TB_task2;2023-08-21 22:48:56;2
;TA_task1;2023-08-21 22:48:59;1
;TA_task3;2023-08-21 22:49:01;4
;TB_task3;2023-08-21 22:49:01;4
;TC_enter;2023-08-21 22:49:33;5
;TD_enter;2023-08-21 22:49:35;0
;TC_task1;2023-08-21 22:49:38;5
;TD_task2;2023-08-21 22:49:40;0
;TC_task3;2023-08-21 22:49:42;3
;TD_task3;2023-08-21 22:49:42;3
;TE_enter;2023-08-21 22:50:02;2
;TF_enter;2023-08-21 22:50:06;3
;TE_task1;2023-08-21 22:50:07;2
;TF_task2;2023-08-21 22:50:10;3
;TE_task3;2023-08-21 22:50:12;0
;TF_task3;2023-08-21 22:50:12;0
;TG_enter;2023-08-21 22:50:27;5
;TG_task1;2023-08-21 22:50:32;5
;TH_enter;2023-08-21 22:50:49;1
;TH_task2;2023-08-21 22:50:54;1
;TG_task3;2023-08-21 22:50:55;4
;TH_task3;2023-08-21 22:50:55;4
;TG_task4;2023-08-21 22:50:55;1
;TH_task4;2023-08-21 22:50:55;1
