case_id;activity;time;robot
;TB_enter;2023-08-21 10:17:06;0
;TB_task2;2023-08-21 10:17:11;0
;TA_enter;2023-08-21 10:17:19;2
;TA_task1;2023-08-21 10:17:24;2
;TA_task3;2023-08-21 10:17:26;5
;TB_task3;2023-08-21 10:17:26;5
;TC_enter;2023-08-21 10:17:34;1
;TC_task1;2023-08-21 10:17:39;1
;TD_enter;2023-08-21 10:17:46;5
;TD_task2;2023-08-21 10:17:51;5
;TC_task3;2023-08-21 10:17:53;2
;TD_task3;2023-08-21 10:17:53;2
;TF_enter;2023-08-21 10:18:04;4
;TF_task2;2023-08-21 10:18:09;4
;TE_enter;2023-08-21 10:18:11;0
;TE_task1;2023-08-21 10:18:16;0
;TE_task3;2023-08-21 10:18:18;3
;TF_task3;2023-08-21 10:18:18;3
;TG_enter;2023-08-21 10:18:24;3
;TG_task1;2023-08-21 10:18:29;3
;TH_enter;2023-08-21 10:18:34;5
;TH_task2;2023-08-21 10:18:39;5
;TG_task3;2023-08-21 10:18:41;2
;TH_task3;2023-08-21 10:18:41;2
;TG_task4;2023-08-21 10:18:41;5
;TH_task4;2023-08-21 10:18:41;5
