mision;activity;time;robot
;TA_enter;2023-08-25 15:32:39;2
;TA_task1;2023-08-25 15:32:44;2
;TB_enter;2023-08-25 15:33:23;4
;TB_task2;2023-08-25 15:33:28;4
;TA_task3;2023-08-25 15:33:30;1
;TB_task3;2023-08-25 15:33:30;1
;TC_enter;2023-08-25 15:33:39;3
;TC_task1;2023-08-25 15:33:44;3
;TD_enter;2023-08-25 15:34:25;0
;TD_task2;2023-08-25 15:34:29;0
;TC_task3;2023-08-25 15:34:31;3
;TD_task3;2023-08-25 15:34:31;3
;TF_enter;2023-08-25 15:34:36;5
;TF_task2;2023-08-25 15:34:41;5
;TE_enter;2023-08-25 15:35:13;2
;TE_task1;2023-08-25 15:35:18;2
;TE_task3;2023-08-25 15:35:20;5
;TF_task3;2023-08-25 15:35:20;5
;TH_enter;2023-08-25 15:35:35;1
;TH_task2;2023-08-25 15:35:40;1
;TG_enter;2023-08-25 15:36:39;4
;TG_task1;2023-08-25 15:36:44;4
;TG_task3;2023-08-25 15:36:46;1
;TH_task3;2023-08-25 15:36:46;1
;TG_task4;2023-08-25 15:36:46;4
;TH_task4;2023-08-25 15:36:46;4
