mision;activity;time;robot
;TB_enter;2023-08-25 15:33:02;3
;TA_enter;2023-08-25 15:33:06;2
;TB_task2;2023-08-25 15:33:07;3
;TA_task1;2023-08-25 15:33:11;2
;TA_task3;2023-08-25 15:33:12;5
;TB_task3;2023-08-25 15:33:12;5
;TD_enter;2023-08-25 15:33:23;0
;TD_task2;2023-08-25 15:33:28;0
;TC_enter;2023-08-25 15:33:32;5
;TC_task1;2023-08-25 15:33:37;5
;TC_task3;2023-08-25 15:33:38;2
;TD_task3;2023-08-25 15:33:38;2
;TF_enter;2023-08-25 15:34:00;2
;TF_task2;2023-08-25 15:34:05;2
;TE_enter;2023-08-25 15:34:11;1
;TE_task1;2023-08-25 15:34:16;1
;TE_task3;2023-08-25 15:34:17;4
;TF_task3;2023-08-25 15:34:17;4
;TG_enter;2023-08-25 15:34:38;4
;TH_enter;2023-08-25 15:34:41;5
;TG_task1;2023-08-25 15:34:42;4
;TH_task2;2023-08-25 15:34:46;5
;TG_task3;2023-08-25 15:34:47;2
;TH_task3;2023-08-25 15:34:47;2
;TG_task4;2023-08-25 15:34:47;5
;TH_task4;2023-08-25 15:34:47;5
