case_id;activity;time;robot
;TB_enter;2023-08-21 10:17:30;4
;TA_enter;2023-08-21 10:17:33;0
;TB_task2;2023-08-21 10:17:35;4
;TA_task1;2023-08-21 10:17:38;0
;TA_task3;2023-08-21 10:17:40;3
;TB_task3;2023-08-21 10:17:40;3
;TC_enter;2023-08-21 10:17:57;5
;TD_enter;2023-08-21 10:18:00;1
;TC_task1;2023-08-21 10:18:02;5
;TD_task2;2023-08-21 10:18:05;1
;TC_task3;2023-08-21 10:18:07;4
;TD_task3;2023-08-21 10:18:07;4
;TE_enter;2023-08-21 10:18:23;3
;TF_enter;2023-08-21 10:18:23;4
;TE_task1;2023-08-21 10:18:27;3
;TF_task2;2023-08-21 10:18:27;4
;TE_task3;2023-08-21 10:18:29;1
;TF_task3;2023-08-21 10:18:29;1
;TH_enter;2023-08-21 10:18:37;0
;TH_task2;2023-08-21 10:18:42;0
;TG_enter;2023-08-21 10:18:44;5
