mision;activity;time;robot
;TB_enter;2023-08-25 15:32:29;3
;TB_task2;2023-08-25 15:32:34;3
;TA_enter;2023-08-25 15:32:43;0
;TA_task1;2023-08-25 15:32:48;0
;TA_task3;2023-08-25 15:32:50;3
;TB_task3;2023-08-25 15:32:50;3
;TD_enter;2023-08-25 15:33:04;5
;TD_task2;2023-08-25 15:33:09;5
;TC_enter;2023-08-25 15:33:12;2
;TC_task1;2023-08-25 15:33:17;2
;TC_task3;2023-08-25 15:33:19;5
;TD_task3;2023-08-25 15:33:19;5
;TE_enter;2023-08-25 15:33:39;3
;TF_enter;2023-08-25 15:33:40;0
;TE_task1;2023-08-25 15:33:44;3
;TF_task2;2023-08-25 15:33:45;0
;TE_task3;2023-08-25 15:33:47;3
;TF_task3;2023-08-25 15:33:47;3
;TG_enter;2023-08-25 15:34:03;1
;TG_task1;2023-08-25 15:34:08;1
;TH_enter;2023-08-25 15:34:09;2
;TH_task2;2023-08-25 15:34:14;2
;TG_task3;2023-08-25 15:34:15;5
;TH_task3;2023-08-25 15:34:15;5
;TG_task4;2023-08-25 15:34:16;2
;TH_task4;2023-08-25 15:34:16;2
