mision;activity;time;robot
;TB_enter;2023-08-21 22:55:53;3
;TA_enter;2023-08-21 22:55:57;2
;TB_task2;2023-08-21 22:55:58;3
;TA_task1;2023-08-21 22:56:02;2
;TA_task3;2023-08-21 22:56:03;5
;TB_task3;2023-08-21 22:56:03;5
;TD_enter;2023-08-21 22:56:14;0
;TD_task2;2023-08-21 22:56:19;0
;TC_enter;2023-08-21 22:56:23;5
;TC_task1;2023-08-21 22:56:28;5
;TC_task3;2023-08-21 22:56:29;2
;TD_task3;2023-08-21 22:56:29;2
;TF_enter;2023-08-21 22:56:51;2
;TF_task2;2023-08-21 22:56:56;2
;TE_enter;2023-08-21 22:57:02;1
;TE_task1;2023-08-21 22:57:07;1
;TE_task3;2023-08-21 22:57:08;4
;TF_task3;2023-08-21 22:57:08;4
;TG_enter;2023-08-21 22:57:28;4
;TH_enter;2023-08-21 22:57:31;5
;TG_task1;2023-08-21 22:57:32;4
;TH_task2;2023-08-21 22:57:36;5
;TG_task3;2023-08-21 22:57:37;2
;TH_task3;2023-08-21 22:57:37;2
;TG_task4;2023-08-21 22:57:37;5
;TH_task4;2023-08-21 22:57:37;5
