mision;activity;time;robot
;TB_enter;2023-08-25 15:33:35;1
;TB_task2;2023-08-25 15:33:40;1
;TA_enter;2023-08-25 15:33:46;2
;TA_task1;2023-08-25 15:33:51;2
;TA_task3;2023-08-25 15:33:52;5
;TB_task3;2023-08-25 15:33:52;5
;TC_enter;2023-08-25 15:34:01;3
;TC_task1;2023-08-25 15:34:06;3
;TD_enter;2023-08-25 15:35:14;0
;TD_task2;2023-08-25 15:35:19;0
;TC_task3;2023-08-25 15:35:21;3
;TD_task3;2023-08-25 15:35:21;3
;TF_enter;2023-08-25 15:35:31;5
;TF_task2;2023-08-25 15:35:36;5
;TE_enter;2023-08-25 15:35:42;1
;TE_task1;2023-08-25 15:35:47;1
;TE_task3;2023-08-25 15:35:49;4
;TF_task3;2023-08-25 15:35:49;4
;TG_enter;2023-08-25 15:36:06;3
;TG_task1;2023-08-25 15:36:10;3
;TH_enter;2023-08-25 15:36:11;0
;TH_task2;2023-08-25 15:36:16;0
;TG_task3;2023-08-25 15:36:17;3
;TH_task3;2023-08-25 15:36:17;3
;TG_task4;2023-08-25 15:36:18;0
;TH_task4;2023-08-25 15:36:18;0
