mision;activity;time;robot
;TB_enter;2023-08-25 15:32:47;4
;TA_enter;2023-08-25 15:32:50;0
;TB_task2;2023-08-25 15:32:52;4
;TA_task1;2023-08-25 15:32:55;0
;TA_task3;2023-08-25 15:32:57;3
;TB_task3;2023-08-25 15:32:57;3
;TC_enter;2023-08-25 15:33:14;5
;TD_enter;2023-08-25 15:33:17;1
;TC_task1;2023-08-25 15:33:19;5
;TD_task2;2023-08-25 15:33:22;1
;TC_task3;2023-08-25 15:33:24;4
;TD_task3;2023-08-25 15:33:24;4
;TE_enter;2023-08-25 15:33:40;3
;TF_enter;2023-08-25 15:33:40;4
;TE_task1;2023-08-25 15:33:44;3
;TF_task2;2023-08-25 15:33:44;4
;TE_task3;2023-08-25 15:33:46;1
;TF_task3;2023-08-25 15:33:46;1
;TH_enter;2023-08-25 15:33:54;0
;TH_task2;2023-08-25 15:33:59;0
;TG_enter;2023-08-25 15:34:01;5
