mision;activity;time;robot
;TB_enter;2023-09-05 21:35:26;5
;TB_task2;2023-09-05 21:35:31;5
;TA_enter;2023-09-05 21:35:36;1
;TA_task1;2023-09-05 21:35:41;1
;TA_task3;2023-09-05 21:35:43;4
;TB_task3;2023-09-05 21:35:43;4
;TC_enter;2023-09-05 21:35:55;2
;TC_task1;2023-09-05 21:36:00;2
;TD_enter;2023-09-05 21:36:03;3
;TD_task2;2023-09-05 21:36:08;3
;TC_task3;2023-09-05 21:36:10;0
;TD_task3;2023-09-05 21:36:10;0
;TF_enter;2023-09-05 21:36:26;1
;TF_task2;2023-09-05 21:36:30;1
;TE_enter;2023-09-05 21:37:54;0
;TE_task1;2023-09-05 21:37:59;0
;TE_task3;2023-09-05 21:38:00;3
;TF_task3;2023-09-05 21:38:00;3
;TG_enter;2023-09-05 21:38:05;5
;TG_task1;2023-09-05 21:38:10;5
;TH_enter;2023-09-05 21:38:16;3
;TH_task2;2023-09-05 21:38:21;3
;TG_task3;2023-09-05 21:38:22;0
;TH_task3;2023-09-05 21:38:22;0
;TG_task4;2023-09-05 21:38:22;3
;TH_task4;2023-09-05 21:38:22;3
