mision;activity;time;robot
;TB_enter;2023-08-25 15:32:49;2
;TA_enter;2023-08-25 15:32:53;1
;TB_task2;2023-08-25 15:32:54;2
;TA_task1;2023-08-25 15:32:57;1
;TA_task3;2023-08-25 15:32:59;4
;TB_task3;2023-08-25 15:32:59;4
;TC_enter;2023-08-25 15:33:31;5
;TD_enter;2023-08-25 15:33:33;0
;TC_task1;2023-08-25 15:33:36;5
;TD_task2;2023-08-25 15:33:38;0
;TC_task3;2023-08-25 15:33:40;3
;TD_task3;2023-08-25 15:33:40;3
;TE_enter;2023-08-25 15:34:00;2
;TF_enter;2023-08-25 15:34:04;3
;TE_task1;2023-08-25 15:34:05;2
;TF_task2;2023-08-25 15:34:08;3
;TE_task3;2023-08-25 15:34:10;0
;TF_task3;2023-08-25 15:34:10;0
;TG_enter;2023-08-25 15:34:26;5
;TG_task1;2023-08-25 15:34:31;5
;TH_enter;2023-08-25 15:34:48;1
;TH_task2;2023-08-25 15:34:53;1
;TG_task3;2023-08-25 15:34:54;4
;TH_task3;2023-08-25 15:34:54;4
;TG_task4;2023-08-25 15:34:54;1
;TH_task4;2023-08-25 15:34:54;1
