case_id;activity;time;robot
;TB_enter;2023-08-21 10:18:04;2
;TB_task2;2023-08-21 10:18:09;2
;TA_enter;2023-08-21 10:18:11;0
;TA_task1;2023-08-21 10:18:16;0
;TA_task3;2023-08-21 10:18:17;3
;TB_task3;2023-08-21 10:18:17;3
;TC_enter;2023-08-21 10:18:25;5
;TC_task1;2023-08-21 10:18:29;5
;TD_enter;2023-08-21 10:20:21;1
;TD_task2;2023-08-21 10:20:26;1
;TC_task3;2023-08-21 10:20:28;4
;TD_task3;2023-08-21 10:20:28;4
;TF_enter;2023-08-21 10:20:42;4
;TF_task2;2023-08-21 10:20:47;4
;TE_enter;2023-08-21 10:20:48;2
;TE_task1;2023-08-21 10:20:53;2
;TE_task3;2023-08-21 10:20:54;5
;TF_task3;2023-08-21 10:20:54;5
;TG_enter;2023-08-21 10:21:05;0
;TG_task1;2023-08-21 10:21:10;0
;TH_enter;2023-08-21 10:21:12;1
;TH_task2;2023-08-21 10:21:17;1
;TG_task3;2023-08-21 10:21:18;4
;TH_task3;2023-08-21 10:21:18;4
;TG_task4;2023-08-21 10:21:18;1
;TH_task4;2023-08-21 10:21:18;1
