case_id;activity;time;robot
;TA_enter;2023-08-21 10:17:15;1
;TA_task1;2023-08-21 10:17:20;1
;TB_enter;2023-08-21 10:17:22;3
;TB_task2;2023-08-21 10:17:27;3
;TA_task3;2023-08-21 10:17:29;0
;TB_task3;2023-08-21 10:17:29;0
;TC_enter;2023-08-21 10:17:34;2
;TC_task1;2023-08-21 10:17:39;2
;TD_enter;2023-08-21 10:17:44;5
;TD_task2;2023-08-21 10:17:48;5
;TC_task3;2023-08-21 10:17:50;2
;TD_task3;2023-08-21 10:17:50;2
;TE_enter;2023-08-21 10:18:04;0
;TF_enter;2023-08-21 10:18:05;3
;TE_task1;2023-08-21 10:18:09;0
;TF_task2;2023-08-21 10:18:09;3
;TE_task3;2023-08-21 10:18:11;0
;TF_task3;2023-08-21 10:18:11;0
;TH_enter;2023-08-21 10:18:20;1
;TH_task2;2023-08-21 10:18:25;1
;TG_enter;2023-08-21 10:18:31;2
;TG_task1;2023-08-21 10:18:36;2
;TG_task3;2023-08-21 10:18:37;5
;TH_task3;2023-08-21 10:18:37;5
;TG_task4;2023-08-21 10:18:37;2
;TH_task4;2023-08-21 10:18:37;2
