mision;activity;time;robot
;TB_enter;2023-08-21 22:48:16;4
;TB_task2;2023-08-21 22:48:21;4
;TA_enter;2023-08-21 22:48:24;3
;TA_task1;2023-08-21 22:48:29;3
;TA_task3;2023-08-21 22:48:31;0
;TB_task3;2023-08-21 22:48:31;0
;TC_enter;2023-08-21 22:48:36;5
;TC_task1;2023-08-21 22:48:41;5
;TD_enter;2023-08-21 22:49:32;2
;TD_task2;2023-08-21 22:49:37;2
;TC_task3;2023-08-21 22:49:39;5
;TD_task3;2023-08-21 22:49:39;5
;TF_enter;2023-08-21 22:49:53;4
;TE_enter;2023-08-21 22:49:58;3
;TF_task2;2023-08-21 22:49:58;4
;TE_task1;2023-08-21 22:50:03;3
;TE_task3;2023-08-21 22:50:04;0
;TF_task3;2023-08-21 22:50:04;0
;TG_enter;2023-08-21 22:50:20;5
;TH_enter;2023-08-21 22:50:21;2
;TG_task1;2023-08-21 22:50:25;5
;TH_task2;2023-08-21 22:50:26;2
;TG_task3;2023-08-21 22:50:28;5
;TH_task3;2023-08-21 22:50:28;5
;TG_task4;2023-08-21 22:50:28;2
;TH_task4;2023-08-21 22:50:28;2
