case_id;activity;time;robot
;TB_enter;2023-08-21 10:18:26;5
;TB_task2;2023-08-21 10:18:31;5
;TA_enter;2023-08-21 10:18:36;2
;TA_task1;2023-08-21 10:18:41;2
;TA_task3;2023-08-21 10:18:42;5
;TB_task3;2023-08-21 10:18:42;5
;TC_enter;2023-08-21 10:19:04;4
;TC_task1;2023-08-21 10:19:09;4
;TD_enter;2023-08-21 10:21:13;1
;TD_task2;2023-08-21 10:21:18;1
;TC_task3;2023-08-21 10:21:20;4
;TD_task3;2023-08-21 10:21:20;4
;TF_enter;2023-08-21 10:21:27;0
;TF_task2;2023-08-21 10:21:32;0
;TE_enter;2023-08-21 10:21:47;3
;TE_task1;2023-08-21 10:21:52;3
;TE_task3;2023-08-21 10:21:54;0
;TF_task3;2023-08-21 10:21:54;0
;TG_enter;2023-08-21 10:22:10;1
;TG_task1;2023-08-21 10:22:15;1
;TH_enter;2023-08-21 10:23:01;2
;TH_task2;2023-08-21 10:23:06;2
;TG_task3;2023-08-21 10:23:08;5
;TH_task3;2023-08-21 10:23:08;5
;TG_task4;2023-08-21 10:23:08;2
;TH_task4;2023-08-21 10:23:08;2
