case_id;activity;time;robot
;TA_enter;2023-08-21 10:18:16;2
;TB_enter;2023-08-21 10:18:17;4
;TA_task1;2023-08-21 10:18:21;2
;TB_task2;2023-08-21 10:18:22;4
;TA_task3;2023-08-21 10:18:23;1
;TB_task3;2023-08-21 10:18:23;1
;TD_enter;2023-08-21 10:18:33;3
;TD_task2;2023-08-21 10:18:37;3
;TC_enter;2023-08-21 10:18:41;5
;TC_task1;2023-08-21 10:18:46;5
;TC_task3;2023-08-21 10:18:47;2
;TD_task3;2023-08-21 10:18:47;2
;TF_enter;2023-08-21 10:19:03;4
;TF_task2;2023-08-21 10:19:08;4
;TE_enter;2023-08-21 10:19:46;0
;TE_task1;2023-08-21 10:19:50;0
;TE_task3;2023-08-21 10:19:52;3
;TF_task3;2023-08-21 10:19:52;3
;TH_enter;2023-08-21 10:20:05;2
;TG_enter;2023-08-21 10:20:07;3
;TH_task2;2023-08-21 10:20:10;2
;TG_task1;2023-08-21 10:20:12;3
;TG_task3;2023-08-21 10:20:14;0
;TH_task3;2023-08-21 10:20:14;0
;TG_task4;2023-08-21 10:20:14;3
;TH_task4;2023-08-21 10:20:14;3
