case_id;activity;time;robot
;TB_enter;2023-08-21 10:16:47;1
;TB_task2;2023-08-21 10:16:52;1
;TA_enter;2023-08-21 10:17:05;5
;TA_task1;2023-08-21 10:17:09;5
;TA_task3;2023-08-21 10:17:11;2
;TB_task3;2023-08-21 10:17:11;2
;TC_enter;2023-08-21 10:17:24;0
;TC_task1;2023-08-21 10:17:29;0
;TD_enter;2023-08-21 10:17:30;2
;TD_task2;2023-08-21 10:17:35;2
;TC_task3;2023-08-21 10:17:37;5
;TD_task3;2023-08-21 10:17:37;5
;TF_enter;2023-08-21 10:17:54;3
;TF_task2;2023-08-21 10:17:59;3
;TE_enter;2023-08-21 10:18:00;1
;TE_task1;2023-08-21 10:18:04;1
;TE_task3;2023-08-21 10:18:06;4
;TF_task3;2023-08-21 10:18:06;4
;TG_enter;2023-08-21 10:18:21;0
;TH_enter;2023-08-21 10:18:22;2
;TG_task1;2023-08-21 10:18:26;0
;TH_task2;2023-08-21 10:18:27;2
;TG_task3;2023-08-21 10:18:28;5
;TH_task3;2023-08-21 10:18:28;5
;TG_task4;2023-08-21 10:18:28;2
;TH_task4;2023-08-21 10:18:28;2
