mision;activity;time;robot
;TB_enter;2023-09-06 15:03:59;5
;TB_task2;2023-09-06 15:04:04;5
;TA_enter;2023-09-06 15:04:09;1
;TA_task1;2023-09-06 15:04:14;1
;TA_task3;2023-09-06 15:04:16;4
;TB_task3;2023-09-06 15:04:16;4
;TC_enter;2023-09-06 15:04:28;2
;TC_task1;2023-09-06 15:04:33;2
;TD_enter;2023-09-06 15:04:36;3
;TD_task2;2023-09-06 15:04:41;3
;TC_task3;2023-09-06 15:04:43;0
;TD_task3;2023-09-06 15:04:43;0
;TF_enter;2023-09-06 15:04:59;1
;TF_task2;2023-09-06 15:05:03;1
;TE_enter;2023-09-06 15:06:27;0
;TE_task1;2023-09-06 15:06:32;0
;TE_task3;2023-09-06 15:06:33;3
;TF_task3;2023-09-06 15:06:33;3
;TG_enter;2023-09-06 15:06:38;5
;TG_task1;2023-09-06 15:06:43;5
;TH_enter;2023-09-06 15:06:49;3
;TH_task2;2023-09-06 15:06:54;3
;TG_task3;2023-09-06 15:06:55;0
;TH_task3;2023-09-06 15:06:55;0
;TG_task4;2023-09-06 15:06:55;3
;TH_task4;2023-09-06 15:06:55;3
