mision;activity;time;robot
;TA_enter;2023-08-21 22:55:31;2
;TA_task1;2023-08-21 22:55:36;2
;TB_enter;2023-08-21 22:55:38;1
;TB_task2;2023-08-21 22:55:43;1
;TA_task3;2023-08-21 22:55:45;4
;TB_task3;2023-08-21 22:55:45;4
;TC_enter;2023-08-21 22:55:50;4
;TC_task1;2023-08-21 22:55:55;4
;TD_enter;2023-08-21 22:56:00;3
;TD_task2;2023-08-21 22:56:05;3
;TC_task3;2023-08-21 22:56:07;0
;TD_task3;2023-08-21 22:56:07;0
;TF_enter;2023-08-21 22:56:18;0
;TF_task2;2023-08-21 22:56:23;0
;TE_enter;2023-08-21 22:56:23;2
;TE_task1;2023-08-21 22:56:28;2
;TE_task3;2023-08-21 22:56:30;5
;TF_task3;2023-08-21 22:56:30;5
;TH_enter;2023-08-21 22:56:40;5
;TH_task2;2023-08-21 22:56:45;5
;TG_enter;2023-08-21 22:57:03;4
;TG_task1;2023-08-21 22:57:08;4
;TG_task3;2023-08-21 22:57:09;1
;TH_task3;2023-08-21 22:57:09;1
;TG_task4;2023-08-21 22:57:09;4
;TH_task4;2023-08-21 22:57:09;4
