case_id;activity;time;robot
;TB_enter;2023-08-21 10:16:58;0
;TB_task2;2023-08-21 10:17:03;0
;TA_enter;2023-08-21 10:17:21;4
;TA_task1;2023-08-21 10:17:25;4
;TA_task3;2023-08-21 10:17:27;1
;TB_task3;2023-08-21 10:17:27;1
;TC_enter;2023-08-21 10:17:33;2
;TC_task1;2023-08-21 10:17:38;2
;TD_enter;2023-08-21 10:18:09;3
;TD_task2;2023-08-21 10:18:13;3
;TC_task3;2023-08-21 10:18:15;0
;TD_task3;2023-08-21 10:18:15;0
;TF_enter;2023-08-21 10:18:30;1
;TF_task2;2023-08-21 10:18:35;1
;TE_enter;2023-08-21 10:18:36;4
;TE_task1;2023-08-21 10:18:41;4
;TE_task3;2023-08-21 10:18:43;1
;TF_task3;2023-08-21 10:18:43;1
;TG_enter;2023-08-21 10:18:56;2
;TH_enter;2023-08-21 10:18:58;3
;TG_task1;2023-08-21 10:19:01;2
;TH_task2;2023-08-21 10:19:02;3
;TG_task3;2023-08-21 10:19:04;0
;TH_task3;2023-08-21 10:19:04;0
;TG_task4;2023-08-21 10:19:04;3
;TH_task4;2023-08-21 10:19:04;3
