case_id;activity;time;robot
;TA_enter;2023-08-21 10:18:10;1
;TB_enter;2023-08-21 10:18:14;2
;TA_task1;2023-08-21 10:18:15;1
;TB_task2;2023-08-21 10:18:19;2
;TA_task3;2023-08-21 10:18:21;5
;TB_task3;2023-08-21 10:18:21;5
;TC_enter;2023-08-21 10:18:36;5
;TC_task1;2023-08-21 10:18:41;5
;TD_enter;2023-08-21 10:19:09;4
;TD_task2;2023-08-21 10:19:14;4
;TC_task3;2023-08-21 10:19:16;1
;TD_task3;2023-08-21 10:19:16;1
;TF_enter;2023-08-21 10:19:29;2
;TF_task2;2023-08-21 10:19:34;2
;TE_enter;2023-08-21 10:19:56;3
;TE_task1;2023-08-21 10:20:01;3
;TE_task3;2023-08-21 10:20:03;0
;TF_task3;2023-08-21 10:20:03;0
;TG_enter;2023-08-21 10:20:17;4
;TG_task1;2023-08-21 10:20:22;4
;TH_enter;2023-08-21 10:20:24;1
;TH_task2;2023-08-21 10:20:29;1
;TG_task3;2023-08-21 10:20:31;4
;TH_task3;2023-08-21 10:20:31;4
;TG_task4;2023-08-21 10:20:31;1
;TH_task4;2023-08-21 10:20:31;1
