mision;activity;time;robot
;TA_enter;2023-08-25 15:32:47;5
;TA_task1;2023-08-25 15:32:52;5
;TB_enter;2023-08-25 15:33:29;3
;TB_task2;2023-08-25 15:33:34;3
;TA_task3;2023-08-25 15:33:35;0
;TB_task3;2023-08-25 15:33:35;0
;TC_enter;2023-08-25 15:33:57;2
;TD_enter;2023-08-25 15:33:59;4
;TC_task1;2023-08-25 15:34:02;2
;TD_task2;2023-08-25 15:34:04;4
;TC_task3;2023-08-25 15:34:06;1
;TD_task3;2023-08-25 15:34:06;1
;TF_enter;2023-08-25 15:34:17;1
;TF_task2;2023-08-25 15:34:22;1
;TE_enter;2023-08-25 15:35:11;3
;TE_task1;2023-08-25 15:35:16;3
;TE_task3;2023-08-25 15:35:17;0
;TF_task3;2023-08-25 15:35:17;0
;TG_enter;2023-08-25 15:35:23;5
;TG_task1;2023-08-25 15:35:28;5
;TH_enter;2023-08-25 15:36:15;4
;TH_task2;2023-08-25 15:36:20;4
;TG_task3;2023-08-25 15:36:22;1
;TH_task3;2023-08-25 15:36:22;1
;TG_task4;2023-08-25 15:36:22;4
;TH_task4;2023-08-25 15:36:22;4
